area,path,title,description,product,words,updated
"README.md","README.md","Auric Artisan Docs","The complete user documentation for Auric Artisan — the website and its tools, the VS Code extensions, the browser extension and the services.","Auric Artisan","634","2026-09-25"
"getting-started","getting-started/README.md","Getting started with Auric Artisan","Where to begin with Auric Artisan — what it is, how its parts fit together, and the first things to set up.","Getting started","327","2026-09-25"
"getting-started","getting-started/choose-where-to-start.md","Choose where to start","A goal-by-goal map from what you want to do to the Auric Artisan tool or product that does it.","Getting started","813","2026-09-25"
"getting-started","getting-started/create-an-account.md","Create an account (optional)","What works without an Auric Artisan account, what an account adds, and the short version of signing up.","Getting started","484","2026-09-25"
"getting-started","getting-started/first-hour-tour.md","Your first hour","A guided first hour on the website — finding your way, a first contrast check, a colour ramp with tokens, a page audit, vision simulation, saving work and setting preferences.","Getting started","896","2026-09-25"
"getting-started","getting-started/free-tools-model.md","The free-tools model","Why every Auric Artisan tool is free on every plan, what the paid plans add instead, and how plan passes are sold.","Getting started","488","2026-09-25"
"getting-started","getting-started/how-the-pieces-fit.md","How the pieces fit","What runs in your browser, what runs on a server, what the account connects, and how the website, extensions and services relate.","Getting started","755","2026-09-25"
"getting-started","getting-started/language.md","Language: English and Hindi","How to switch the Auric Artisan website between English and Hindi, how the choice is remembered, and what to expect in Hindi.","Getting started","405","2026-09-25"
"getting-started","getting-started/light-and-dark-theme.md","Light and dark theme","How to choose Light, Dark or System theme on the Auric Artisan website, and how the choice is remembered.","Getting started","238","2026-09-25"
"getting-started","getting-started/offline-use.md","Offline use","Install the Auric Artisan website as an app and prepare it to keep working without a network connection.","Getting started","502","2026-09-25"
"getting-started","getting-started/privacy-basics.md","Privacy basics","What Auric Artisan keeps in your browser, what it sends to a server, how the cookie choice works, and where to read the full policies.","Getting started","664","2026-09-25"
"getting-started","getting-started/what-is-auric-artisan.md","What Auric Artisan is","A plain overview of the Auric Artisan website, its tools and libraries, the VS Code extensions, the browser extension and the developer services.","Getting started","838","2026-09-25"
"website","website/README.md","The website","A map of everything on auricartisan.com — the site-wide features, the tools, the kits, the library, the portfolio builder, search, your account and the company pages.","Website","442","2026-09-25"
"website","website/site-features/README.md","Site features","An overview of the controls, panels and helpers that appear on every page of auricartisan.com, with links to each feature's guide.","Website › Site features","668","2026-09-25"
"website","website/site-features/accessibility-aids/README.md","Accessibility aids","The site-wide aids that make Auric Artisan easier to read, see and use: reading mode, text size, contrast, motion, keyboard access and more.","Website › Site features › Accessibility aids","398","2026-09-25"
"website","website/site-features/accessibility-aids/docs/README.md","Accessibility aids guides","Contents of the accessibility aids guides.","Website › Site features › Accessibility aids","83","2026-09-25"
"website","website/site-features/accessibility-aids/docs/getting-started.md","Get started with the accessibility aids","Set up the site's text size, contrast, motion, transparency, link and pointer options for your needs.","Website › Site features › Accessibility aids","323","2026-09-25"
"website","website/site-features/accessibility-aids/docs/keyboard-and-screen-readers.md","Keyboard and screen readers","How the site supports keyboard-only use and screen readers, from the skip link to dialogs and announcements.","Website › Site features › Accessibility aids","426","2026-09-25"
"website","website/site-features/accessibility-aids/docs/reading-mode.md","Reading mode","Turn reading mode on and off, and understand what it changes on the page.","Website › Site features › Accessibility aids","288","2026-09-25"
"website","website/site-features/accessibility-aids/docs/reference.md","Accessibility aids reference","Every accessibility aid on the site, where to find it, its shortcut and its default.","Website › Site features › Accessibility aids","312","2026-09-25"
"website","website/site-features/accessibility-aids/docs/troubleshooting.md","Troubleshooting the accessibility aids","Fixes for common problems with the accessibility aids.","Website › Site features › Accessibility aids","218","2026-09-25"
"website","website/site-features/accessibility-aids/docs/faq.md","Accessibility aids FAQ","Short answers about the site's accessibility aids.","Website › Site features › Accessibility aids","122","2026-09-25"
"website","website/site-features/accessibility-aids/others/README.md","Accessibility aids: supporting material","Contents of the accessibility aids supporting files.","Website › Site features › Accessibility aids","51","2026-09-25"
"website","website/site-features/accessibility-aids/others/glossary.md","Accessibility aids glossary","Terms used in the accessibility aids guides.","Website › Site features › Accessibility aids","150","2026-09-25"
"website","website/site-features/accessibility-aids/others/privacy.md","Accessibility aids privacy","What the accessibility aids store.","Website › Site features › Accessibility aids","71","2026-09-25"
"website","website/site-features/accessibility-aids/others/related.md","Related to the accessibility aids","Features and pages related to the accessibility aids.","Website › Site features › Accessibility aids","64","2026-09-25"
