area,folder,title,description,documents
"getting-started","getting-started","Getting started with Auric Artisan","Where to begin with Auric Artisan — what it is, how its parts fit together, and the first things to set up.","11"
"website","website","The website","A map of everything on auricartisan.com — the site-wide features, the tools, the kits, the library, the portfolio builder, search, your account and the company pages.","1"
"website","website/site-features","Site features","An overview of the controls, panels and helpers that appear on every page of auricartisan.com, with links to each feature's guide.","1"
"website","website/site-features/accessibility-aids","Accessibility aids","The site-wide aids that make Auric Artisan easier to read, see and use: reading mode, text size, contrast, motion, keyboard access and more.","1"
"website","website/site-features/accessibility-aids/docs","Accessibility aids guides","Contents of the accessibility aids guides.","7"
"website","website/site-features/accessibility-aids/others","Accessibility aids: supporting material","Contents of the accessibility aids supporting files.","4"
"website","website/site-features/context-menu","Right-click menu","What the site's own right-click menu does, how it adapts to what you clicked, and how to switch back to your browser's menu.","1"
"website","website/site-features/context-menu/docs","Right-click menu guides","Contents of the right-click menu guides.","10"
"website","website/site-features/context-menu/others","Right-click menu: supporting material","Contents of the right-click menu's supporting files.","6"
"website","website/site-features/cookie-consent-and-privacy","Cookie consent and privacy choices","The cookie notice, the four cookie categories, and how to accept, reject, customise or withdraw your choice.","1"
"website","website/site-features/cookie-consent-and-privacy/docs","Cookie consent guides","Contents of the cookie consent guides.","6"
"website","website/site-features/cookie-consent-and-privacy/others","Cookie consent: supporting material","Contents of the cookie consent supporting files.","4"
"website","website/site-features/custom-cursor","Custom cursor","The ring-and-dot pointer that follows your mouse on Auric Artisan, the shapes it takes, and how to turn it off.","1"
"website","website/site-features/custom-cursor/docs","Custom cursor guides","Contents of the custom cursor guides.","5"
"website","website/site-features/custom-cursor/others","Custom cursor: supporting material","Contents of the custom cursor supporting files.","4"
"website","website/site-features/eye-rest","Eye rest","Optional reminders that invite you to look away from the screen for a few seconds, on a schedule you choose.","1"
"website","website/site-features/eye-rest/docs","Eye rest guides","Contents of the eye rest guides.","6"
"website","website/site-features/eye-rest/others","Eye rest: supporting material","Contents of the eye rest supporting files.","5"
"website","website/site-features/feedback","Feedback","The occasional feedback prompt, the quick star rating, the six-question survey and bug reports, and how often the site asks.","1"
"website","website/site-features/feedback/docs","Feedback guides","Contents of the feedback guides.","6"
"website","website/site-features/feedback/others","Feedback: supporting material","Contents of the feedback supporting files.","4"
"website","website/site-features/guide-and-page-outline","Guide and page outline","The page guide opened with ?, its guided tours, and the section rail on long company, legal and trust pages.","1"
"website","website/site-features/guide-and-page-outline/docs","Guide and page outline guides","Contents of the guide and page outline documentation.","7"
"website","website/site-features/guide-and-page-outline/others","Guide and page outline: supporting material","Contents of the guide and page outline supporting files.","5"
"website","website/site-features/header-and-navigation","Header and navigation","The site header, its menus and quick tools, the mobile drawer, the page utilities bar and the footer.","1"
"website","website/site-features/header-and-navigation/docs","Header and navigation guides","Contents of the header and navigation guides.","9"
"website","website/site-features/header-and-navigation/others","Header and navigation: supporting material","Contents of the header and navigation supporting files.","5"
"website","website/site-features/info-bars-and-notices","Info bars and notices","The welcome, announcement and quick-links bars, the clock strip, hero notice, demo chips, the first-visit welcome and the site's status messages.","1"
"website","website/site-features/info-bars-and-notices/docs","Info bars and notices guides","Contents of the info bars and notices guides.","8"
